"","Year","District","Electorate","ColNames","Votes","Percentage"
"203",2005,"Colombo","Avissawella","No of Registered Electors",101065,NA
"204",2005,"Colombo","Homagama","No of Registered Electors",141974,NA
"205",2005,"Colombo","Maharagama","Wimal Geeganage",26,0.03
"206",2005,"Colombo","Maharagama","Chamil Jayaneththi",52,0.06
"207",2005,"Colombo","Maharagama","Ajith Kumara Jayaweera Arachchige",24,0.03
"208",2005,"Colombo","Maharagama","Siritunga Jayasuriya",103,0.11
"209",2005,"Colombo","Maharagama","P. Nelson Perera",5,0.01
"210",2005,"Colombo","Maharagama","Wije Dias",35,0.04
"211",2005,"Colombo","Maharagama","Anura De Silva",41,0.05
"212",2005,"Colombo","Maharagama","Aruna de Soyza",46,0.05
"213",2005,"Colombo","Maharagama","Mahinda Rajapaksha",53681,59.37
"214",2005,"Colombo","Maharagama","Ranil Wickramasinghe",36093,39.91
"215",2005,"Colombo","Maharagama","Achala Ashoka Suraweera",138,0.15
"216",2005,"Colombo","Maharagama","Victor Hettigoda",173,0.19
"217",2005,"Colombo","Maharagama","Hewaheenipallage Shantha Dharmadwaja",8,0.01
"218",2005,"Colombo","Maharagama","Total No of Valid Votes",90425,99
"219",2005,"Colombo","Maharagama","No of Rejected Votes",910,1
"220",2005,"Colombo","Maharagama","Total No of Votes Polled",91335,76.66
"221",2005,"Colombo","Kesbewa","Wimal Geeganage",40,0.04
"222",2005,"Colombo","Kesbewa","Chamil Jayaneththi",67,0.06
"223",2005,"Colombo","Kesbewa","Ajith Kumara Jayaweera Arachchige",33,0.03
"224",2005,"Colombo","Kesbewa","Siritunga Jayasuriya",163,0.15
"225",2005,"Colombo","Kesbewa","P. Nelson Perera",10,0.01
"226",2005,"Colombo","Kesbewa","Wije Dias",37,0.03
"227",2005,"Colombo","Kesbewa","Anura De Silva",59,0.05
"228",2005,"Colombo","Kesbewa","Aruna de Soyza",57,0.05
"229",2005,"Colombo","Kesbewa","Mahinda Rajapaksha",66660,60.82
"230",2005,"Colombo","Kesbewa","Ranil Wickramasinghe",42042,38.36
"231",2005,"Colombo","Kesbewa","Achala Ashoka Suraweera",238,0.22
"232",2005,"Colombo","Kesbewa","Victor Hettigoda",192,0.18
"233",2005,"Colombo","Kesbewa","Hewaheenipallage Shantha Dharmadwaja",4,0
"234",2005,"Colombo","Kesbewa","Total No of Valid Votes",109602,99
"235",2005,"Colombo","Kesbewa","No of Rejected Votes",1110,1
"236",2005,"Colombo","Kesbewa","Total No of Votes Polled",110712,79.03
"237",2005,"Colombo","Moratuwa","Wimal Geeganage",33,0.04
"238",2005,"Colombo","Moratuwa","Chamil Jayaneththi",52,0.06
"239",2005,"Colombo","Moratuwa","Ajith Kumara Jayaweera Arachchige",34,0.04
"240",2005,"Colombo","Moratuwa","Siritunga Jayasuriya",232,0.25
"241",2005,"Colombo","Moratuwa","P. Nelson Perera",13,0.01
"242",2005,"Colombo","Moratuwa","Wije Dias",37,0.04
"243",2005,"Colombo","Moratuwa","Anura De Silva",38,0.04
"244",2005,"Colombo","Moratuwa","Aruna de Soyza",57,0.06
"245",2005,"Colombo","Moratuwa","Mahinda Rajapaksha",48047,52.17
"246",2005,"Colombo","Moratuwa","Ranil Wickramasinghe",43207,46.92
"247",2005,"Colombo","Moratuwa","Achala Ashoka Suraweera",192,0.21
"248",2005,"Colombo","Moratuwa","Victor Hettigoda",143,0.16
"249",2005,"Colombo","Moratuwa","Hewaheenipallage Shantha Dharmadwaja",4,0
"250",2005,"Colombo","Moratuwa","Total No of Valid Votes",92089,98.95
"251",2005,"Colombo","Moratuwa","No of Rejected Votes",975,1.05
"252",2005,"Colombo","Moratuwa","Total No of Votes Polled",93064,80.39
"253",2005,"Colombo","Final District Results","Wimal Geeganage",422,0.04
"254",2005,"Colombo","Final District Results","Chamil Jayaneththi",775,0.07
"255",2005,"Colombo","Final District Results","Ajith Kumara Jayaweera Arachchige",398,0.04
"256",2005,"Colombo","Final District Results","Siritunga Jayasuriya",2628,0.23
"257",2005,"Colombo","Final District Results","P. Nelson Perera",134,0.01
"258",2005,"Colombo","Final District Results","Wije Dias",410,0.04
"259",2005,"Colombo","Final District Results","Anura De Silva",601,0.05
"260",2005,"Colombo","Final District Results","Aruna de Soyza",519,0.05
"261",2005,"Colombo","Final District Results","Mahinda Rajapaksha",534431,47.42
"262",2005,"Colombo","Final District Results","Ranil Wickramasinghe",569627,50.54
"263",2005,"Colombo","Final District Results","Achala Ashoka Suraweera",2057,0.18
"264",2005,"Colombo","Final District Results","Victor Hettigoda",2174,0.19
"265",2005,"Colombo","Final District Results","Hewaheenipallage Shantha Dharmadwaja",74,0.01
